License Type	Source URL	Degree Required Status	Supporting Evidence	Reasoning	Confidence Score	Elo Rating
Licensed Practical Nurse	https://www.njconsumeraffairs.gov/Statutes/nursing-law.pdf	No Degree Found	"(3) has completed 2 years of high school or the equivalent... (4) has completed a course of study in a school of practical nursing approved by the board and holds a diploma therefrom" (N.J.S.A. 45:11-27a).	The law requires only partial high-school completion and a practical-nursing diploma program; it never mentions any associate, bachelor’s, or graduate degree.	0.9	1,263.00
Actuarial License	https://www.careercornerstone.org/actuarialscience/actsciprep.htm	No Degree Found	The text states that applicants "usually have a bachelor's degree" but does not say a degree is required; it only details exams and experience requirements and notes that pension actuary enrollment requires "certain experience and examination requirements" without mentioning any degree.	The source describes typical educational backgrounds and preferences but never sets a bachelor’s (or any) degree as a mandatory prerequisite for actuarial credentialing or enrollment, so no college degree requirement can be concluded.	0.86	1,028.00
Actuarial License	https://research.com/careers/how-to-become-an-actuary	No Degree Found	The text only states, “Beginning a career as an actuary usually means first completing a bachelor’s degree,” but never says that a bachelor’s (or any) degree is required for obtaining actuarial credentials; it instead focuses on passing exams and other non-degree requirements.	The article describes a bachelor’s degree as the common educational path but does not present it as an explicit or mandatory prerequisite for initial actuarial certification or licensure, nor does it reference any statute or board rule that mandates a degree.	0.75	974
Actuarial License	https://www.acturhire.com/jobs/actuarial-analyst-iii-2c15e	No Degree Found	"Requires a Bachelor's degree... or equivalent work experience."	Although a Bachelor’s degree is mentioned, the text explicitly provides an alternative path—"equivalent work experience"—that fully substitutes for the degree, meaning the license (or, here, the credential requirement) can be obtained without any college degree.	0.55	917
Administrative Certificate	https://www.law.cornell.edu/regulations/new-jersey/N-J-A-C-6A-9B-12-4	Explicit Bachelor's	"(m)1.i. Possesses a bachelor's or higher degree from an accredited four-year college or university;"	While the primary route in (a) requires a master's degree, subsection (m) explicitly allows issuance of the school administrator certificate to a candidate who holds only a bachelor's degree when appointed in a State-operated district. Because this path still leads to the same initial credential, the minimum explicitly stated degree requirement is a bachelor's.	0.78	1,255.00
Diagnostic Radiologic Technologist License	https://www.nj.gov/dep/rpp/tec/diagrt.htm	No Degree Found	“Educational Requirement: Completion of a 24 month course of study in a diagnostic radiography program approved by the Radiologic Technology Board of Examiners… ”; “Complete at least a high school level education in the United States or its equivalent;”	The text specifies only a Board-approved 24-month radiography program and a high-school education; it does not require an associate’s, bachelor’s, or higher degree.	0.85	1,261.00
Counselor License	https://www.njconsumeraffairs.gov/pc/Pages/FAQ.aspx	Explicit Graduate/Professional	"Education Requirement, N.J.A.C. 13:34-11.5: A master's degree from a regionally accredited institution that consists of 60 graduate semester hours..."; "Education Requirement N.J.A.C. 13:34-11.2: A master's degree from a regionally accredited institution that consists of 60 graduate semester hours..."	The regulations for both Licensed Associate Counselor and Licensed Professional Counselor explicitly require applicants to hold a master's degree, which is a graduate-level credential.	0.95	1,260.00
Certified Alcohol and Drug Counselor	https://www.nj.gov/humanservices/dmhas/initiatives/workforce/FAQs_Becoming_LCADC_CADC.pdf	No Degree Found	"Received a bachelor’s degree or an associate’s degree or a high school diploma or a certificate of high school equivalency" (Education N.J.A.C. 13:34C-2.3b-1 for CADC).	The rule explicitly lists a high-school diploma/GED as one of the acceptable educational credentials, so a college degree is optional rather than mandatory for CADC certification.	0.9	1,256.00
Physical Therapist Assistant License	https://www.njconsumeraffairs.gov/Statutes/physical-therapy-law.pdf	Explicit Associate's	"To be eligible for licensure as a physical therapist assistant, an applicant shall: a. Possess at least an Associate in Arts degree from an accredited college or university;"	The statute directly states that applicants must hold at least an Associate in Arts degree, making the requirement explicit at the associate level.	0.96	1,252.00
Administrative Certificate	https://www.caldwell.edu/programs/post-master-school-administrator-certification/	Explicit Graduate/Professional	"Hold a master’s or higher degree from a regionally accredited college or university…"; "Hold a master’s degree from a regionally accredited college or university and complete a Post-Master program…"; "Master Degree – All credits on an accredited four-year college/university transcript"	The text repeatedly states that eligibility for the School Administrator (administrative certificate) requires possession of a master's or higher degree, which is an explicit graduate-level requirement.	0.9	1,129.00
